ID,Greek,Declension,Article,English,Note,Transliteration,Type,Frequency,Tag
374,ἄρτι,,,"now, just now",,arti,Adverb,36,34 - 37
375,ἄρχων,-οντος,ὁ,a ruler,"monarch, sole [μόνος] ruler",archōn,Noun,37,34 - 37
376,ἀσθενέω,,,I am weak,,astheneō,Verb,34,34 - 37
377,βλασφημέω,,,"I revile, blaspheme",blaspheme,blasphēmeō,Verb,34,34 - 37
378,βούλομαι,,,"I wish, determine",akin to volition,boulomai,Verb,37,34 - 37
379,διάβολος,-ον,,"slanderous, accusing falsely; as a noun, the Accuser, the Devil",diabolical,diabolos,Noun,37,34 - 37
380,διακονέω,,,I wait upon,"especially at table), serve (generally), minister (cf. deacon",diakoneō,Verb,37,34 - 37
381,ἐκπορεύομαι,,,I go out,,ekporeuomai,Verb,34,34 - 37
382,ἐμαυτοῦ,,,of myself,,emautou,Pronoun,37,34 - 37
383,ἐπιστρέφω,,,"I turn to, return",,epistrephō,Verb,36,34 - 37
384,εὐθέως,,,immediately,,eutheōs,Adverb,36,34 - 37
385,καλῶς,,,well,,kalōs,Adverb,37,34 - 37
386,μαρτυρία,-ας,ἡ,"a testimony, evidence",cf. martyrdom,martyria,Noun,37,34 - 37
387,μάρτυς,-υρος,ὁ,a witness,martyr,martys,Noun,35,34 - 37
388,μετανοέω,,,I repent,,metanoeō,Verb,34,34 - 37
389,ὀπίσω,,,"behind, after; (+ gen.) behind, after","cf. opisthograph, a manuscript written upon both the back and the front, Rev. 5:1",opisō,Preposition,35,34 - 37
390,ὀργή,-ῆς,ἡ,anger,,orgē,Noun,36,34 - 37
391,οὖς,ὠτός,τό,an ear,otology,ous,Noun,36,34 - 37
392,ὀφείλω,,,"I owe, ought",,opheilō,Verb,35,34 - 37
393,πειράζω,,,"I test, tempt, attempt",,peirazō,Verb,37,34 - 37
394,πέντε,,,five,Pentateuch,pente,Adjective,37,34 - 37
395,περιτομή,-ῆς,ἡ,circumcision,,peritomē,Noun,36,34 - 37
396,προσευχή,-ῆς,ἡ,prayer,,proseuchē,Noun,36,34 - 37
397,πτωχός,"-ή, -όν",,"poor; as a noun, a poor man",,ptōchos,Adjective,34,34 - 37
398,τέσσαρες,-ων,,four,"the Diatessaron of Tatian, a harmony of the four Gospels made about A.D. 170; literally, through [the] four",tessares,Adjective,37,34 - 37
399,ὑποστρέφω,,,I return,,hypostrephō,Verb,35,34 - 37
400,ὑποτάσσω,,,"I subject, put in subjection","in grammar, hypotaxis, subordination of clauses",hypotassō,Verb,37,34 - 37
401,ὥσπερ,,,"just as, even as",,hōsper,Particle,36,34 - 37
402,ἀναγινώσκω,,,I read,,anaginōskō,Verb,32,32 - 33
403,ἀρνέομαι,,,I deny,,arneomai,Verb,33,32 - 33
404,βιβλίον,-ου,τό,a book,Bible,biblion,Noun,33,32 - 33
405,δεικνύω,or δείκνυμι,,I show,"in logic, apodeictic, of clear demonstration",deiknyō,Verb,33,32 - 33
406,διαθήκη,-ης,ἡ,a covenant,,diathēkē,Noun,33,32 - 33
407,διακονία,-ας,ἡ,"wailing at table,","in a wider sense) service, ministry (diaconate",diakonia,Noun,33,32 - 33
408,δυνατός,"-ή, -όν",,"powerful, possible",cf. dynamite,dynatos,Adjective,32,32 - 33
409,ἐγγύς,,,near,,engys,Adverb or Preposition,32,32 - 33
410,ἔξεστι,,,it is lawful,,exesti,Verb,32,32 - 33
411,ἐχθρός,"-ά, -όν",,"hating; as a noun, an enemy",,echthros,Adjective,32,32 - 33
412,ἥλιος,-ου,ὁ,the sun,helium,hēlios,Noun,32,32 - 33
413,ἱερεύς,-έως,ὁ,a priest,hierarchy,hiereus,Noun,32,32 - 33
414,καυχάομαι,,,I boast,,kauchaomai,Verb,33,32 - 33
415,μέλος,-ους,τό,a member,,melos,Noun,33,32 - 33
416,μήτε,,,"neither, nor",,mēte,Conjunction,33,32 - 33
417,οἶνος,-ου,ὁ,wine,,oinos,Noun,33,32 - 33
418,πλῆθος,-ους,τό,a multitude,cf. plethora,plēthos,Noun,32,32 - 33
419,ποῖος,"-α, -ον",,what sort of? what?,,poios,Adjective,33,32 - 33
420,ποτήριον,-ου,τό,a cup,,potērion,Noun,32,32 - 33
421,συνέρχομαι,,,I come together,,synerchomai,Verb,32,32 - 33
422,ὑπομονή,-ῆς,ἡ,steadfast endurance,,hypomonē,Noun,32,32 - 33
423,φυλάσσω,,,I guard,cf. prophylactic,phylassō,Verb,32,32 - 33
424,ἀγοράζω,,,I buy,"cf. agora, the market place",agorazō,Verb,30,30 - 31
425,ἀκάθαρτος,-ον,,unclean,,akathartos,Adjective,31,30 - 31
426,ἄνεμος,-ου,ὁ,a wind,anemone; anemometer,anemos,Noun,31,30 - 31
427,ἀρνίον,-ου,τό,a lamb,,arnion,Noun,30,30 - 31
428,γε,,,"indeed, at least, really, even",,ge,Particle,30,30 - 31
429,διδαχή,-ῆς,ἡ,teaching,cf. didactic,didachē,Noun,30,30 - 31
430,ἐλεέω,,,I have mercy,cf. eleemosynary; alms,eleeō,Verb,30,30 - 31
431,ἐλπίζω,,,I hope,,elpizō,Verb,31,30 - 31
432,ἐπικαλέω,,,"I call, name; middle, I invoke, appeal to",,epikaleō,Verb,30,30 - 31
433,ἐπιτιμάω,,,"I rebuke, warn",,epitimaō,Verb,30,30 - 31
434,καθαρίζω,,,I cleanse,catharize,katharizō,Verb,31,30 - 31
435,ναί,,,"yea, truly, yes",,nai,Particle,31,30 - 31
436,ὁμοίως,,,likewise,,homoiōs,Adverb,30,30 - 31
437,παραγγέλλω,,,"I command, charge",,parangellō,Verb,31,30 - 31
438,παρέρχομαι,,,"I pass by, pass away; I arrive",,parerchomai,Verb,30,30 - 31
439,παρρησία,-ας,ἡ,"boldness (of speech), confidence",,parrēsia,Noun,31,30 - 31
440,πλήν,,,"however, but, only; (+ gen.) except",,plēn,Adverb or Conjunction,31,30 - 31
441,σκανδαλίζω,,,I cause to stumble,scandalize,skandalizō,Verb,30,30 - 31
442,σκότος,-ους,τό,darkness,"scotoscope, a field-glass for seeing by night",skotos,Noun,31,30 - 31
